"survey","hh_key","household_weight","region10","urban","hh_size","head_age","head_female","water_source_cat","cooking_fuel_cat","roof_material_cat","sleeping_rooms","floor_material_screen","floor_non_earth","members_total","female_members","children_under5","children_under15","adults_15plus","elders_65plus","has_electricity","toilet_type_screen","head_educ_cat","welfare","poverty_status","poverty_status_code","nhis_any_member_registered","nhis_any_missing","totexpeqsc_real","fdexpeqsc_real","nfexpeqsc_real","TOTHLTH","wealth_index","wealth_score"
"GLSS6","60623/07",216.365310668945,5,0,3,56,1,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,3,3,0,1,2,0,0,"pit_or_kvip","none_or_primary",2004.69396972656,"Non poor",2,1,0,5.49231195449829,3.82561278343201,1.66669917106628,195.639999389648,NA,NA
"GLSS6","60054/13",697.955688476562,1,0,1,65,1,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,1,0,"pit_or_kvip","none_or_primary",6610.576171875,"Non poor",2,0,0,18.1111679077148,12.3353691101074,5.77579879760742,46.7200012207031,NA,NA
"GLSS6","61088/04",63.7576904296875,9,0,1,55,0,"surface_or_unprotected","wood","sheet_metal_asbestos_slate",3,"cement_or_finished",1,1,0,0,0,1,0,0,"no_facility","none_or_primary",3681.19921875,"Non poor",2,0,0,10.0854768753052,7.99335622787476,2.09212064743042,21.8999996185303,NA,NA
"GLSS6","60399/13",217.670227050781,4,0,5,29,1,"surface_or_unprotected","wood","natural_thatch_bamboo",2,"cement_or_finished",1,5,5,0,4,1,0,0,"no_facility","none_or_primary",2303.4921875,"Non poor",2,0,0,6.31093740463257,4.28577661514282,2.02516078948975,119.720001220703,NA,NA
"GLSS6","60242/01",437.324462890625,3,1,1,66,1,"packaged_water","charcoal","wood",1,"cement_or_finished",1,1,1,0,0,1,1,0,"pit_or_kvip","none_or_primary",3067.1767578125,"Non poor",2,0,0,8.40322399139404,6.36206579208374,2.0411581993103,0,NA,NA
"GLSS6","60735/06",1760.55212402344,6,0,4,27,0,"borehole_tube_well","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,4,2,2,2,2,0,1,"pit_or_kvip","none_or_primary",2206.27221679688,"Non poor",2,0,0,6.04458141326904,2.59824705123901,3.44633436203003,226.300003051758,NA,NA
"GLSS6","60817/02",735.303344726562,7,0,1,19,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,0,"pit_or_kvip","none_or_primary",3058.93725585938,"Non poor",2,1,0,8.38065052032471,4.92140007019043,3.45925045013428,14.6000003814697,NA,NA
"GLSS6","60223/07",423.651550292969,2,0,2,43,0,"borehole_tube_well","no_cooking","sheet_metal_asbestos_slate",2,"cement_or_finished",1,2,0,0,0,2,0,1,"pit_or_kvip","basic_or_middle",6909.6259765625,"Non poor",2,0,0,18.9304828643799,15.6979475021362,3.23253536224365,0,NA,NA
"GLSS6","60947/14",532.262573242188,8,1,6,54,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",3,"cement_or_finished",1,6,3,1,2,4,0,1,"pit_or_kvip","none_or_primary",3478.46362304688,"Non poor",2,1,0,9.53003692626953,3.75659894943237,5.77343797683716,70.0800018310547,NA,NA
"GLSS6","60368/15",377.8203125,3,1,1,43,0,"packaged_water","gas_or_electricity","cement_tile_shingle",2,"cement_or_finished",1,1,0,0,0,1,0,1,"flush_or_wc","higher",30105.359375,"Non poor",2,1,0,82.4804306030273,35.8281135559082,46.6523170471191,0,NA,NA
"GLSS6","60552/12",594.461242675781,5,0,6,38,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",3,"cement_or_finished",1,6,3,1,3,3,0,1,"pit_or_kvip","basic_or_middle",3573.0849609375,"Non poor",2,1,0,9.78927326202393,4.23479604721069,5.55447721481323,0,NA,NA
"GLSS6","60198/15",369.07568359375,2,1,3,32,1,"packaged_water","gas_or_electricity","sheet_metal_asbestos_slate",2,"cement_or_finished",1,3,3,0,1,2,0,1,"flush_or_wc","secondary_or_vocational",8344.0234375,"Non poor",2,1,0,22.8603382110596,9.31888294219971,13.5414552688599,40,NA,NA
